Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
27,Entry short,2026-07-21 07:35,S,7526.25,3,112893.75,-146.22,-0.13,3.72,76.89,0.07,-144.36,-0.13,204.95,0.20,2
28,Exit short,2026-07-21 07:45,Srun,7535.75,1,37631.25,-48.74,-0.13,1.24,25.63,0.07,-48.12,-0.13,156.83,0.16,2
28,Entry short,2026-07-21 07:35,S,7526.25,1,37631.25,-48.74,-0.13,1.24,25.63,0.07,-48.12,-0.13,156.83,0.16,2
29,Exit short,2026-07-22 07:55,Score,7540,4,150705,-99.96,-0.07,4.96,127.52,0.08,-97.48,-0.06,56.25,0.06,4
29,Entry short,2026-07-22 07:35,S,7535.25,4,150705,-99.96,-0.07,4.96,127.52,0.08,-97.48,-0.06,56.25,0.06,4
30,Exit short,2026-07-22 07:55,Srun,7540,1,37676.25,-24.99,-0.07,1.24,31.88,0.08,-24.37,-0.06,31.88,0.03,4
30,Entry short,2026-07-22 07:35,S,7535.25,1,37676.25,-24.99,-0.07,1.24,31.88,0.08,-24.37,-0.06,31.88,0.03,4
31,Exit short,2026-07-24 07:50,Score,7451,2,74390,-122.48,-0.16,2.48,61.26,0.08,-121.24,-0.16,-91.22,-0.09,3
31,Entry short,2026-07-24 07:35,S,7439,2,74390,-122.48,-0.16,2.48,61.26,0.08,-121.24,-0.16,-91.22,-0.09,3
32,Exit short,2026-07-24 07:50,Srun,7451,1,37195,-61.24,-0.16,1.24,30.63,0.08,-60.62,-0.16,-151.84,-0.15,3
32,Entry short,2026-07-24 07:35,S,7439,1,37195,-61.24,-0.16,1.24,30.63,0.08,-60.62,-0.16,-151.84,-0.15,3
33,Exit short,2026-07-27 07:40,Score,7426,3,111581.25,187.53,0.17,3.72,238.14,0.21,-31.86,-0.03,35.07,0.04,1
33,Entry short,2026-07-27 07:35,S,7438.75,3,111581.25,187.53,0.17,3.72,238.14,0.21,-31.86,-0.03,35.07,0.04,1
34,Exit short,2026-07-27 07:50,Srun,7438.75,1,37193.75,-1.24,0.00,1.24,79.38,0.21,-10.62,-0.03,34.45,0.03,3
34,Entry short,2026-07-27 07:35,S,7438.75,1,37193.75,-1.24,0.00,1.24,79.38,0.21,-10.62,-0.03,34.45,0.03,3
35,Exit long,2026-07-28 07:40,Lcore,7440,3,111491.25,105.03,0.09,3.72,159.39,0.14,-24.36,-0.02,138.86,0.14,1
35,Entry long,2026-07-28 07:35,L,7432.75,3,111491.25,105.03,0.09,3.72,159.39,0.14,-24.36,-0.02,138.86,0.14,1
36,Exit long,2026-07-28 07:50,Lrun,7452,1,37163.75,95.01,0.26,1.24,113.13,0.30,-8.12,-0.02,234.49,0.23,3
36,Entry long,2026-07-28 07:35,L,7432.75,1,37163.75,95.01,0.26,1.24,113.13,0.30,-8.12,-0.02,234.49,0.23,3
37,Exit short,2026-07-29 09:05,Score,7382.25,2,74037.5,212.52,0.29,2.48,213.76,0.29,-88.74,-0.12,446.39,0.45,18
37,Entry short,2026-07-29 07:35,S,7403.75,2,74037.5,212.52,0.29,2.48,213.76,0.29,-88.74,-0.12,446.39,0.45,18
38,Exit short,2026-07-29 09:20,Srun,7383.75,1,37018.75,98.76,0.27,1.24,153.13,0.41,-44.37,-0.12,545.77,0.55,21
38,Entry short,2026-07-29 07:35,S,7403.75,1,37018.75,98.76,0.27,1.24,153.13,0.41,-44.37,-0.12,545.77,0.55,21
39,Exit long,2026-07-30 07:40,Lcore,7431.75,2,74400,-84.98,-0.11,2.48,43.76,0.06,-101.24,-0.14,460.17,0.46,1
39,Entry long,2026-07-30 07:35,L,7440,2,74400,-84.98,-0.11,2.48,43.76,0.06,-101.24,-0.14,460.17,0.46,1
40,Exit long,2026-07-30 07:40,Lrun,7431.75,1,37200,-42.49,-0.11,1.24,21.88,0.06,-50.62,-0.14,418.3,0.42,1
40,Entry long,2026-07-30 07:35,L,7440,1,37200,-42.49,-0.11,1.24,21.88,0.06,-50.62,-0.14,418.3,0.42,1
41,Exit long,2026-07-31 08:30,Lcore,7452.25,2,74637.5,-117.48,-0.16,2.48,193.76,0.26,-116.24,-0.16,300.2,0.30,11
41,Entry long,2026-07-31 07:35,L,7463.75,2,74637.5,-117.48,-0.16,2.48,193.76,0.26,-116.24,-0.16,300.2,0.30,11
42,Exit long,2026-07-31 08:30,Lrun,7452.25,1,37318.75,-58.74,-0.16,1.24,96.88,0.26,-58.12,-0.16,242.08,0.24,11
42,Entry long,2026-07-31 07:35,L,7463.75,1,37318.75,-58.74,-0.16,1.24,96.88,0.26,-58.12,-0.16,242.08,0.24,11
43,Exit long,2026-08-03 08:40,Lcore,7609.25,8,303990,370.08,0.12,9.92,375.04,0.12,-44.96,-0.01,611.54,0.61,13
43,Entry long,2026-08-03 07:35,L,7599.75,8,303990,370.08,0.12,9.92,375.04,0.12,-44.96,-0.01,611.54,0.61,13
44,Exit long,2026-08-03 09:10,Lrun,7609.25,1,37998.75,46.26,0.12,1.24,70.63,0.19,-5.62,-0.01,658.42,0.66,19
44,Entry long,2026-08-03 07:35,L,7599.75,1,37998.75,46.26,0.12,1.24,70.63,0.19,-5.62,-0.01,658.42,0.66,19
45,Exit long,2026-08-04 08:20,Lcore,7726.5,2,77040,222.52,0.29,2.48,223.76,0.29,-11.24,-0.01,880.32,0.88,9
45,Entry long,2026-08-04 07:35,L,7704,2,77040,222.52,0.29,2.48,223.76,0.29,-11.24,-0.01,880.32,0.88,9
46,Exit long,2026-08-04 10:50,Lrun,7772.5,1,38520,341.26,0.89,1.24,398.13,1.03,-5.62,-0.01,1222.2,1.22,39
46,Entry long,2026-08-04 07:35,L,7704,1,38520,341.26,0.89,1.24,398.13,1.03,-5.62,-0.01,1222.2,1.22,39
47,Exit short,2026-08-05 08:15,Score,7768.75,3,116868.75,333.78,0.29,3.72,335.64,0.29,-140.61,-0.12,1555.36,1.56,8
47,Entry short,2026-08-05 07:35,S,7791.25,3,116868.75,333.78,0.29,3.72,335.64,0.29,-140.61,-0.12,1555.36,1.56,8
48,Exit short,2026-08-05 09:15,Srun,7761.75,1,38956.25,146.26,0.38,1.24,203.13,0.52,-46.87,-0.12,1702.24,1.70,20
48,Entry short,2026-08-05 07:35,S,7791.25,1,38956.25,146.26,0.38,1.24,203.13,0.52,-46.87,-0.12,1702.24,1.70,20
49,Exit long,2026-08-06 07:40,Lcore,7751.5,3,116212.5,56.28,0.05,3.72,144.39,0.12,-16.86,-0.01,1757.9,1.76,1
49,Entry long,2026-08-06 07:35,L,7747.5,3,116212.5,56.28,0.05,3.72,144.39,0.12,-16.86,-0.01,1757.9,1.76,1
50,Exit long,2026-08-06 07:40,Lrun,7751.5,1,38737.5,18.76,0.05,1.24,48.13,0.12,-5.62,-0.01,1777.28,1.78,1
50,Entry long,2026-08-06 07:35,L,7747.5,1,38737.5,18.76,0.05,1.24,48.13,0.12,-5.62,-0.01,1777.28,1.78,1
51,Exit short,2026-08-07 08:10,Score,7781.25,2,77665,-149.98,-0.19,2.48,18.76,0.02,-148.74,-0.19,1626.68,1.63,7
51,Entry short,2026-08-07 07:35,S,7766.5,2,77665,-149.98,-0.19,2.48,18.76,0.02,-148.74,-0.19,1626.68,1.63,7
52,Exit short,2026-08-07 08:10,Srun,7781.25,1,38832.5,-74.99,-0.19,1.24,9.38,0.02,-74.37,-0.19,1552.31,1.55,7
52,Entry short,2026-08-07 07:35,S,7766.5,1,38832.5,-74.99,-0.19,1.24,9.38,0.02,-74.37,-0.19,1552.31,1.55,7
53,Exit short,2026-08-10 07:45,Score,7793.5,6,233700,-112.44,-0.05,7.44,11.28,0.00,-108.72,-0.05,1439.25,1.44,2
53,Entry short,2026-08-10 07:35,S,7790,6,233700,-112.44,-0.05,7.44,11.28,0.00,-108.72,-0.05,1439.25,1.44,2
54,Exit short,2026-08-10 07:45,Srun,7793.5,1,38950,-18.74,-0.05,1.24,1.88,0.00,-18.12,-0.05,1421.13,1.42,2
54,Entry short,2026-08-10 07:35,S,7790,1,38950,-18.74,-0.05,1.24,1.88,0.00,-18.12,-0.05,1421.13,1.42,2
55,Exit short,2026-08-11 07:45,Score,7785.5,5,194481.25,-162.45,-0.08,6.2,9.4,0.00,-159.35,-0.08,1258.06,1.26,2
55,Entry short,2026-08-11 07:35,S,7779.25,5,194481.25,-162.45,-0.08,6.2,9.4,0.00,-159.35,-0.08,1258.06,1.26,2
56,Exit short,2026-08-11 07:45,Srun,7785.5,1,38896.25,-32.49,-0.08,1.24,1.88,0.00,-31.87,-0.08,1226.19,1.23,2
56,Entry short,2026-08-11 07:35,S,7779.25,1,38896.25,-32.49,-0.08,1.24,1.88,0.00,-31.87,-0.08,1226.19,1.23,2
57,Exit long,2026-08-13 07:40,Lcore,7830.25,7,274233.75,-183.68,-0.07,8.68,13.16,0.00,-179.34,-0.07,1041.89,1.04,1
57,Entry long,2026-08-13 07:35,L,7835.25,7,274233.75,-183.68,-0.07,8.68,13.16,0.00,-179.34,-0.07,1041.89,1.04,1
58,Exit long,2026-08-13 07:40,Lrun,7830.25,1,39176.25,-26.24,-0.07,1.24,1.88,0.00,-25.62,-0.07,1016.27,1.02,1
58,Entry long,2026-08-13 07:35,L,7835.25,1,39176.25,-26.24,-0.07,1.24,1.88,0.00,-25.62,-0.07,1016.27,1.02,1
59,Exit short,2026-08-14 12:55,flat,7805.5,4,156190,75.04,0.05,4.96,257.52,0.16,-87.48,-0.06,1091.31,1.09,60
59,Entry short,2026-08-14 07:55,S,7809.5,4,156190,75.04,0.05,4.96,257.52,0.16,-87.48,-0.06,1091.31,1.09,60
