Datetime,Open,High,Low,Close,Volume
2026-07-31 06:25:00-07:00,7495.0,7495.75,7493.75,7495.25,1616
2026-07-31 06:26:00-07:00,7495.0,7496.25,7494.75,7495.25,1017
2026-07-31 06:27:00-07:00,7495.25,7496.5,7493.0,7496.25,1488
2026-07-31 06:28:00-07:00,7496.0,7497.75,7495.75,7497.0,2459
2026-07-31 06:29:00-07:00,7496.75,7499.5,7494.5,7498.75,2733
2026-07-31 06:30:00-07:00,7498.75,7505.5,7497.75,7502.0,13535
2026-07-31 06:31:00-07:00,7502.0,7507.75,7500.0,7506.75,7767
2026-07-31 06:32:00-07:00,7506.75,7511.25,7506.25,7510.75,6075
2026-07-31 06:33:00-07:00,7510.5,7513.5,7509.0,7510.0,6575
2026-07-31 06:34:00-07:00,7509.75,7515.5,7509.5,7512.0,6169
2026-07-31 06:35:00-07:00,7512.0,7514.5,7510.25,7512.5,5984
2026-07-31 06:36:00-07:00,7512.5,7514.75,7509.25,7512.0,5473
2026-07-31 06:37:00-07:00,7511.75,7512.5,7506.0,7508.5,5842
2026-07-31 06:38:00-07:00,7508.5,7509.25,7500.75,7504.0,5915
2026-07-31 06:39:00-07:00,7504.0,7504.5,7493.0,7493.0,7355
2026-07-31 06:40:00-07:00,7493.25,7494.0,7486.75,7488.0,7973
2026-07-31 06:41:00-07:00,7487.75,7493.5,7487.0,7488.75,5104
2026-07-31 06:42:00-07:00,7489.0,7489.5,7482.75,7485.25,5231
2026-07-31 06:43:00-07:00,7485.25,7488.0,7479.75,7487.0,6491
2026-07-31 06:44:00-07:00,7487.25,7489.5,7482.25,7482.75,5962
2026-07-31 06:45:00-07:00,7483.0,7487.75,7478.0,7481.25,8335
2026-07-31 06:46:00-07:00,7481.25,7481.75,7477.25,7480.25,7595
2026-07-31 06:47:00-07:00,7480.25,7482.5,7477.0,7478.0,6974
2026-07-31 06:48:00-07:00,7478.0,7479.0,7473.0,7476.5,7303
2026-07-31 06:49:00-07:00,7476.5,7477.75,7471.5,7474.25,8487
2026-07-31 06:50:00-07:00,7474.25,7476.0,7470.0,7471.75,10159
2026-07-31 06:51:00-07:00,7471.75,7478.0,7470.75,7477.5,8090
2026-07-31 06:52:00-07:00,7477.5,7478.25,7469.5,7471.5,8251
2026-07-31 06:53:00-07:00,7471.5,7473.5,7466.75,7471.0,9117
2026-07-31 06:54:00-07:00,7471.25,7472.25,7468.0,7471.5,6778
2026-07-31 06:55:00-07:00,7471.5,7475.0,7468.25,7474.0,7851
2026-07-31 06:56:00-07:00,7474.0,7479.75,7471.0,7479.5,8405
2026-07-31 06:57:00-07:00,7479.5,7479.75,7474.0,7474.75,6491
